국가,클릭수,노출,CTR,게재 순위
한국,1,3,33.33%,1.33
미국,0,64,0%,8.84
브라질,0,3,0%,2.33
아루바,0,1,0%,1
앙골라,0,1,0%,1
포르투갈,0,1,0%,2
몰도바,0,1,0%,3
파키스탄,0,1,0%,4
에스토니아,0,1,0%,8
영국,0,1,0%,11
사우디 아라비아,0,1,0%,45
스페인,0,1,0%,46
이탈리아,0,1,0%,46
