날짜,클릭수,노출,CTR,게재 순위
2026-01-23,0,0,,
2026-01-24,0,0,,
2026-01-25,0,8,0%,5.1
2026-01-26,0,5,0%,32.4
2026-01-27,0,11,0%,15.8
2026-01-28,0,7,0%,21
2026-01-29,1,14,7.14%,5.9
2026-01-30,0,4,0%,13.2
2026-01-31,0,31,0%,2.7
